03.21.2019 23:00;100
03.21.2019 23:01;75
03.22.2019 00:34;75
03.22.2019 00:36;10
03.22.2019 00:39;80
03.22.2019 00:40;80
03.22.2019 00:41;100
03.22.2019 00:44;75
03.22.2019 00:46;90
03.22.2019 00:48;90
03.22.2019 00:49;100
03.22.2019 00:50;90
03.22.2019 00:50;100
03.22.2019 00:57;85
03.22.2019 12:56;100
03.22.2019 13:17;90
03.22.2019 13:17;100
03.22.2019 13:18;85
03.22.2019 13:19;85
03.22.2019 13:20;80
03.22.2019 13:20;90
03.22.2019 13:31;5
03.22.2019 13:32;85
03.22.2019 13:33;40
03.22.2019 13:34;65
03.22.2019 13:35;-190
03.22.2019 13:36;0
03.22.2019 13:38;55
03.22.2019 13:39;-10
03.22.2019 13:40;5
03.22.2019 13:47;65
03.22.2019 13:48;90
03.22.2019 13:49;90
03.22.2019 13:54;100
03.22.2019 13:57;100
04.02.2019 00:59;70
04.02.2019 10:59;60
